,id,listing_url,name,description,picture_url,host_id,host_url,host_name,host_response_rate,neighbourhood,neighbourhood_group,latitude,longitude,room_type,accommodates,room_type,bedrooms,beds,price,minimum_nights,review_scores_rating,availability_365,instant_bookable,bathrooms
2863,6670861,https://www.airbnb.com/rooms/6670861,"Schillerkiez, cute and bright.","The flat is surrounded by green (tempelhofer feld at 100m), in the beloved and popular Schillerkiez. Open view with children's and football's playground. Very calm at night and 1st part of the morning, the animation raises during the day!<br /><br /><b>The space</b><br />It's my flat, and I managed to keep it very minimal: no chairs (you'll certainly eat outside, or like I do, on the floor with the plants).<br />Better for 2 persons, but I let the possibility to be 4 people, since the sofa is also a double bed.",https://a0.muscache.com/pictures/84116086/dc9d7377_original.jpg,34914724,https://www.airbnb.com/users/show/34914724,François,0.0,Schillerpromenade,Neukölln,52.4749,13.42182,Entire home/apt,4,Entire home/apt,1.0,1.0,35.0,1124,99.0,365,f,1.0
2882,6708399,https://www.airbnb.com/rooms/6708399,Modern townhouse in Berlin-South,"Das neue kleines Haus bietet Ihnen Ruhe im Garten, und trotzdem nur 20 min zum Berliner Zentrum. Sowie 15 min zum Airport Schönefeld.  Öffentlicher Nahverkehr ist lediglich 3 min zu Fuß entfernt.  Sie haben auch die Möglichkeit bei uns zu parken. Wir werden ihren Aufenthalt so angenehm wie möglich gestalten.",https://a0.muscache.com/pictures/84651786/28efc758_original.jpg,35119823,https://www.airbnb.com/users/show/35119823,Susana,0.0,Lichtenrade,Tempelhof - Schöneberg,52.41237,13.40061,Entire home/apt,4,Entire home/apt,2.0,3.0,89.0,2,93.0,300,t,2.5
2883,6708791,https://www.airbnb.com/rooms/6708791,Make yourself at home in Berlin,"I am renting a stylish old apartment (85 sqm) in central Prenzlauer Berg, near Kollwitzplatz, 3 bedrooms, bath, kitchen. Wi-Fi available. Excellent connection to public transport.<br /><br /><b>License number</b><br />03/Z/ZA/002664-17",https://a0.muscache.com/pictures/84662025/1ed5693a_original.jpg,698575,https://www.airbnb.com/users/show/698575,Birgit,83.0,Prenzlauer Berg Südwest,Pankow,52.53986,13.4149,Entire home/apt,8,Entire home/apt,3.0,8.0,185.0,2,92.0,365,t,1.0
2906,6781290,https://www.airbnb.com/rooms/6781290,COLOURED FLAT IN BERLIN,"Located in the university area of WEDDING, this cosy and coloured apartment is easily reachable by the purple tube line (U6) or the orange line (U9), respectively at LEOPOLD PLATZ or AMRUMER STRASSE, and it is 5 stops far away from ZOOLOGISHER GART.",https://a0.muscache.com/pictures/89385315/7788a218_original.jpg,14358836,https://www.airbnb.com/users/show/14358836,Rebecca,90.0,Parkviertel,Mitte,52.54473,13.349839999999999,Entire home/apt,4,Entire home/apt,2.0,2.0,89.0,5,88.0,285,f,1.0
2908,6781856,https://www.airbnb.com/rooms/6781856,House in Spandau for 6 to relax,"Full 80m² cottage<br />500m² garden, grill spot<br />2 bedrooms (2 /4 beds), 1 living room +TV, 1 bathroom +1 toilet, 1 kitchen dishwasher, washing machine, stove<br />Parking on property, quiet area, close by: Playing ground, lake, sports ground, bus stop -600m<br /><br /><b>The space</b><br />Since parks and a lake are close by, traveling with kids, pets or by bicycle would make your trip even better!<br /><br /><b>Guest access</b><br />You will have full access to the entire property except for the basement (which is mostly used for storage and heating adjustments), and the small house in the backyard which is still being renovated.<br /><br /><b>Other things to note</b><br />The garden is full with apple trees and different berries if you come in late summer you will have fresh fruit ready to pluck ;-)<br /><br /><b>License number</b><br />Wohn 230-05/Z/ZA/005635-16",https://a0.muscache.com/pictures/85656184/3e2eb924_original.jpg,35502976,https://www.airbnb.com/users/show/35502976,Dagmar Vera Ute,83.0,Falkenhagener Feld,Spandau,52.54465,13.17119,Entire home/apt,6,Entire home/apt,2.0,6.0,130.0,3,92.0,364,f,1.5
2913,6793850,https://www.airbnb.com/rooms/6793850,Welcome to Friedrichshain,"The room is located directly at the Ostkreuz (4min walk) from the train station<br />The lively neighborhood offers a variety of dining and entertainment options.<br />Not far and within walking distance is the famous Warschauerstraße which is known for its colorful nightlife.<br /><br /><b>The space</b><br />The Guest Room ist completely separated from our Living and Sleep Room - and you don’t need to pass any living Room of us-  Due to the coronavirus, we’re taking extra steps to clean and sanitize frequently touched surfaces between reservations<br /><br /><b>Guest access</b><br />u have excess to the bathroom<br /><br /><b>Other things to note</b><br />Kinder sind hier willkommen. <br />Wir sind eine interracial Familie und toleriere keine Fremdenfeindlichkeit - <br />Rassisten sind hier nicht willkommen - <br />Wir sind weltoffen und freuen uns auf euren Aufenthalt -<br /><br />Kids and Baby’s are highly welcome. <br />We are an interracial family and do not tolerate xenophobia -<",https://a0.muscache.com/pictures/85819019/fcbba054_original.jpg,12662516,https://www.airbnb.com/users/show/12662516,Yasemin,100.0,Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,52.50553000000001,13.466579999999999,Private room,3,Private room,1.0,2.0,30.0,1,89.0,362,t,0.0
2918,6808488,https://www.airbnb.com/rooms/6808488,OFFICIAL- Cozy & Quiet. Private Kitchen. Bathroom,"Within an official and legal guest-house space.<br />This cosy and quiet 25 m2 room has a private bathroom, a queen size box spring bed, a single bed, a kitchen corner including an induction cooktop, a fridge, a boiler, a sink and other facilities.<br />This room is well oriented, very quiet and bright.<br /><br /><b>The space</b><br />Within an official and legal commercial space of 135 m2, divided into 3 different studio apartments / rooms which have a private bathroom each, 2 private kitchens for two of them, and a big balcony for one of them. In the heart of the Neukölln, just opened after full renovation! This advert is for room N°2.<br /><br />25 m2 with a queen size box spring bed + a single bed, a kitchen corner including an induction cooktop, fridge, boiler, sink and other facilities.<br /><br /><b>Guest access</b><br />Metro U8 Boddinstrasse (south gate) or LeineStrasse (north gate).<br />The entrance is beside LIdl.",https://a0.muscache.com/pictures/2c23657a-99d3-47c5-be23-75b098fe82f5.jpg,8384325,https://www.airbnb.com/users/show/8384325,Minitel,100.0,Schillerpromenade,Neukölln,52.47694,13.426079999999999,Private room,3,Private room,1.0,2.0,46.0,1,94.0,69,f,0.0
2921,6810587,https://www.airbnb.com/rooms/6810587,"OFFICIAL- 135m2 comfy Apt. 3 bathrooms, 2 kitchens","This official commercial space is 135 m2, divided in 3 different studios / rooms which have a private bathroom each, 2 private kitchens for two of them, and a big balcony. The place is a comercial guest-apartment and is not a subleting flat and  has just opened after full renovation in April 2016 ! In the heart of the Neukölln, very close to Tempelhof Aiport Park. Lots of restaurants, bars, supermarkets as well as transport connections.<br /><br />* PLEASE CHECK OUT THE RULES AND AGREE BEFORE BOOKING *<br /><br /><b>The space</b><br />Bedroom 1:<br />35 m2 with own balcony. Private bathroom is located in the corridor just in front of the room. No proper kitchen is available in this room, but there are some tea/coffee facilities (boiler etc). This room has a king size bed and another single box spring bed. <br /><br />Bedroom 2:<br />25 m2 with a queen size box spring bed + a single bed, a kitchen corner including an induction cooktop, boiler, sink and other facilities. <br /><br />Bedr",https://a0.muscache.com/pictures/54f7497d-abe8-42bd-9a2f-68163008cde7.jpg,8384325,https://www.airbnb.com/users/show/8384325,Minitel,100.0,Schillerpromenade,Neukölln,52.47694,13.426079999999999,Entire home/apt,12,Entire home/apt,3.0,9.0,210.0,1,86.0,334,t,0.0
2925,6827947,https://www.airbnb.com/rooms/6827947,Centrally located and very spacious,"A very spacious apartment in vivid and multicultural location in the city center. It takes only 10min by bus to the airport (TXL) and main railway station. There's enough space for 6 people (bed& two bed sofas), dishwasher, microwave, espresso etc.<br /><br /><b>The space</b><br />The apartment is spacious (70sqm) and is completely furnished. In the living room there're two sofas that can easily accommodate up to 4 persons, big flat screen, desk and a small side table. In the bed room there's a huge wardrobe and very comfortable bed (160cm wide). The kitchen is completely equipped with a modern fridge/freezer, dishwasher, Nespresso coffee machine and a water filter can.<br />If you plan to come for longer period or with 6 people, please enquire the price.",https://a0.muscache.com/pictures/86331183/a836bf24_original.jpg,35764805,https://www.airbnb.com/users/show/35764805,Nina,0.0,Moabit West,Mitte,52.52545,13.32593,Entire home/apt,6,Entire home/apt,2.0,3.0,60.0,90,88.0,90,f,1.0
2927,6834476,https://www.airbnb.com/rooms/6834476,Ferienwohnung mit Garten,"Die Wohnung befindet sich am Stadtrand von Berlin mit guter ÖPNV -Anbindung. Die 45 m² Nichtraucher –Wohnung hat einem Parkplatz im Grundstück, Terrasse und Garten. Die Lage ist ideal für Ausflüge in die Hauptstadt mit abendlicher Ruhe im Garten.<br /><br /><b>The space</b><br />Die Ferienwohnung ist ein idealer Ausgangspunkt für Ausflüge in die Hauptstadt mit seinen bedeutenden Museen, Sehenswürdigkeiten und Kulturveranstaltungen, sowie deren Umgebung. So kann ein Ausflug in das Weltkulturerbe Potsdam-Sanssouci, eine Schifffahrt auf der Spree oder ein Spaziergang unter den Linden mit abendlicher Entspannung und Ruhe im Garten abgerundet werden<br /><br /><b>Guest access</b><br />Die Ferienwohnung hat mit extra Eingang, einen eigenen Garten und einen PKW - Stellplatz im Grundstück<br /><br /><b>Other things to note</b><br />Nichtraucher - Ferienwohnung<br /><br /><b>License number</b><br />10/Z/AZ/001720-18",https://a0.muscache.com/pictures/1b9be0d5-e76b-46fd-a5f8-c07e7204c5e9.jpg,35803835,https://www.airbnb.com/users/show/35803835,Boris,100.0,Mahlsdorf,Marzahn - Hellersdorf,52.51794,13.62865,Entire home/apt,3,Entire home/apt,1.0,2.0,50.0,2,97.0,48,f,1.0
2933,6841988,https://www.airbnb.com/rooms/6841988,21apart Top Luxury Space Spree Mitte Berlin,"Be enveloped in the contemporary allure of this airy apartment boasting vibrant mid-century furnishings, hip artwork, and hardwood floors. Brew coffee in a light-filled kitchen with wood counters and crack open a book in the fresh air of the balcony.<br /><br />Please also check our 21apart Deluxe Luxury Space Spree Mitte Berlin apartment, if you are looking for an apartment for up to ten persons.",https://a0.muscache.com/pictures/973db5b9-f657-48cc-abee-be795a800b8c.jpg,1581930,https://www.airbnb.com/users/show/1581930,Darius,100.0,Alexanderplatz,Mitte,52.52251,13.38711,Entire home/apt,6,Entire home/apt,2.0,1.0,290.0,3,97.0,346,t,1.0
2935,6846819,https://www.airbnb.com/rooms/6846819,*new* cozy apartment in moabit,"Freshly refurbished, central & bright apartment in the new in-quarter Moabit!<br />Very good connection to the main sightseeing spots, the airport Tegel (8min) and Hauptbahnhof (10 min). <br />You also reach Prenzlauer Berg in 10 or Alexanderplatz, Hackescher Markt&Friedrichstraße in 15 min.<br /><br /><b>The space</b><br />Freshly refurbished cozy and bright 1 room apartment (40sqm) up to 4 person. Very good connection to the straight city centre, technical university and airport Tegel.<br /><br />The apartment is located in the 4th floor and has two comfortable sleeping sofas (140x200), a big wardrobe, TV, fully equipped kitchen and a new bathroom.<br /><br />Its just a 2 min walk (150m) to the train station S Beusselstrasse and the direct bus connection to the airport Tegel (7 min) and Hauptbahnhof (10 Min).<br />By train (S) you reach Prenzlauer Berg in 10, Alexanderplatz, Hackescher Markt or Friedrichstraße in just 15 minutes.<br /><br />Enjoy Berlin!<br /><br /><b>Guest access</b",https://a0.muscache.com/pictures/87681391/7e909bdd_original.jpg,35877170,https://www.airbnb.com/users/show/35877170,Nasco,100.0,Moabit West,Mitte,52.5347,13.328710000000001,Entire home/apt,4,Entire home/apt,1.0,2.0,59.0,4,95.0,90,t,1.0
2941,6857271,https://www.airbnb.com/rooms/6857271,KREUZBERG:light&spacious flat with terrace! [wifi],"Light & spacious flat in Kreuzberg with an outdoor terrace, large living room & fully equipped kitchen. Free Wifi! Ideal for a group of 4 with 2 bedrooms at different ends of the place. Can be extended to 6 guests through a pull-out couch in the living room.<br /><br /><b>The space</b><br />The apartment sleeps four people - two in the master bedroom and two in a smaller bedroom. It is very spacious with 106 square meters / 1140 square feet in total. It has a small terrace where you can enjoy a glass of wine or sit outside to enjoy the evening. There are all amenities (toaster, pots and pans, coffee maker, hair dryer, washing machine, refrigerator, freezer) to make your stay comfortable.<br /><br />We love animals, but unfortunately, no pets are allowed in the apartment.<br /><br />The bathroom with a shower can be accessed from the hallway. The smaller bedroom includes an ensuite sink and mirror. <br /><br />The living room includes two couches and the common area with analog cable TV",https://a0.muscache.com/pictures/86762636/75577a89_original.jpg,35935420,https://www.airbnb.com/users/show/35935420,Gerd & Lena,86.0,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,52.494780000000006,13.400920000000001,Entire home/apt,4,Entire home/apt,2.0,3.0,99.0,4,93.0,85,f,1.0
2943,6858383,https://www.airbnb.com/rooms/6858383,"8-bed dorm mixed Ensuite ,Kitchen 2","with shared bathroom, kitchen, TV, WIFI, bed linen, and storage<br />Breakfast buffet is available for € 6.00 including juices, coffee and tea.<br />The reception is open 24 hours.<br />""Late Check Out"" is possible after prior agreement!<br />Padlock: 5,00 € deposit<br />Keycard: 2,00 € deposit<br /><br /><b>The space</b><br />The Singer 109 Hostel is located in the heart of Berlin, in a former factory building. We offer double rooms and 3-8 bed rooms. The team speaks German and English. (24h Reception and Bar/No Curfew/No Lock Out)<br />Breakfast buffet is served from 07:00 a.m.  - 11:00 a.m. <br />In the evening, guests can get to know one another over a beer and a chat, during the Happy Hour times. In this time, you can make new friends and plans!<br /><br /><b>Guest access</b><br />We offer our guests:<br />- pool table/snooker<br />- football table<br />- internet, free WIFI<br />- printer: 0,50€ per page<br />- laundry service: 5,00 EUR<br />- towel: 2,00 EUR<br />- padlock: 5,00",https://a0.muscache.com/pictures/2a7c149e-080a-45e3-9334-e5327bd781a5.jpg,8250486,https://www.airbnb.com/users/show/8250486,Singer Hostel Berlin,99.0,Alexanderplatz,Mitte,52.51546999999999,13.424610000000001,Shared room,8,Shared room,1.0,0.0,15.0,1,91.0,174,t,0.0
2957,6891866,https://www.airbnb.com/rooms/6891866,CosyStylish Flat in Heart of P'berg,"Charming flat with terrace overlooking lush green garden. 2 rooms, one with kingsize bed and the other with state of the art sleeping sofa. Sleeps 4 comfortably. Mauerpark, cobblestones, cafés & bars, boutiques & ponies - right at your doorstep.<br /><br /><b>The space</b><br />The apartment is super cosy and the neighborhood is Berlin at its finest.",https://a0.muscache.com/pictures/88940336/3829c742_original.jpg,3622827,https://www.airbnb.com/users/show/3622827,David,100.0,Prenzlauer Berg Nordwest,Pankow,52.54844,13.405389999999999,Entire home/apt,4,Entire home/apt,1.0,2.0,110.0,2,95.0,365,f,1.0
2960,6904443,https://www.airbnb.com/rooms/6904443,Downtown Turn of the Century Flair,"This wonderfully central yet astoundingly quiet turn of the century apartment with high ceilings and prominent details welcomes you to Berlin! It is just minutes from the Kufurstendamm, and close to all forms of city transportation.",https://a0.muscache.com/pictures/87419003/1c45f881_original.jpg,13435326,https://www.airbnb.com/users/show/13435326,Hanoch,100.0,Halensee,Charlottenburg-Wilm.,52.50051,13.2988,Entire home/apt,4,Entire home/apt,1.0,1.0,65.0,30,100.0,141,t,1.0
2997,7004451,https://www.airbnb.com/rooms/7004451,Large Bright Apartment with Balcony,"Two very bright rooms with balcony in a 110m2 apartment. All rooms are facing south-east so that means sunlight all day with sunset in the large kitchen. 3min walk from the ""ring"" train (with quick connections to the entire city)!<br /><br /><b>The space</b><br />The Apartment:<br />This newly remodeled “1910 Altbau” is ideal for people who are on vacation or looking for a temporary place. The apartment is 110 square meters, has a beautiful new kitchen with all new appliances: stove, oven refrigerator/freezer, dining table and a bathroom with bath, shower, washing machine and toilet. There is Wi-Fi / Wireless Internet throughout the house. <br />There is a large, sunny, living room with hardwood floor and a balcony. You can use it as a bedroom if there is a small group. The new couch transforms easily into a comfortable bed (large enough for two) with storage beneath. Living room also connects to the bedroom with a door which you can keep open or close for privacy. The bedroom has a do",https://a0.muscache.com/pictures/88797823/71b9f225_original.jpg,22692037,https://www.airbnb.com/users/show/22692037,Anthony,100.0,Rixdorf,Neukölln,52.471030000000006,13.45265,Entire home/apt,5,Entire home/apt,2.0,2.0,100.0,5,91.0,294,f,1.0
3006,7024865,https://www.airbnb.com/rooms/7024865,"Berlin arty, cosy, sunny flat","Our comfy colourful home is super central in trendy Schöneberg just off the bustling cafe and restaurant area on a beautiful old cobbled tree-lined pedestrian street. Cosy kitchen with sofas is esp. handy if folks are sleeping in the living room. Family friendly! Loads of toys, backyard play area<br /><br /><b>The space</b><br />It's the classic ""altbau""- old buildings with high ceilings and features. Really light because its south facing and on the top floor.60m*. The bedroom has a bunk bed which sleeps two  (with a slide that can be attached or detached :-). The bedeoom has a double and single mattress wall to wall on the floor so it’s low down if babies are also sleeping with you in bed or if you prefer to sleep low down. The sofa in the living room is also a comfy large single bed. We also have extra duvets and cushions etc. Friends like staying at ours because its light and warm all year, is surrounded by art galleries, cafes and restaurants, but is on a quiet side street. There's",https://a0.muscache.com/pictures/90577316/76e375a8_original.jpg,34851217,https://www.airbnb.com/users/show/34851217,Sofia,100.0,Schöneberg-Nord,Tempelhof - Schöneberg,52.49651,13.35793,Entire home/apt,4,Entire home/apt,1.0,1.0,103.0,1,95.0,232,f,1.0
3019,7062349,https://www.airbnb.com/rooms/7062349,Kolle 55,"In the heart of the vibrant Prenzlauer Hill. Bars, Restaurants backery nand off licens shops and  supermarket are very closed.<br /><br /><b>The space</b><br />Apartment (about 43 squaremeters) with balcony in the trendy Prenzlauer Berg scene district close to the Kollwitzplatz.<br />There is a double bed in the bedroom and a sofa bed for two persons in the living room.<br /><br /><b>Guest access</b><br />free access to every area of the flat and the balcony<br /><br /><b>Other things to note</b><br />A wholly-owned night's sleep can not be guaranteed as they are in a place with numerous bars and restaurants. Despite this, the windows isolate the sound quite well, when they are closed.",https://a0.muscache.com/pictures/89578995/4d8dfbb8_original.jpg,37017491,https://www.airbnb.com/users/show/37017491,Uwe,0.0,Prenzlauer Berg Südwest,Pankow,52.534819999999996,13.41664,Entire home/apt,4,Entire home/apt,1.0,2.0,100.0,1,80.0,90,f,1.0
3024,7082764,https://www.airbnb.com/rooms/7082764,35m2 Studio Space,"Living in that room will give you, what living in Berlin really means. The city just downstairs, however you have a save haven upstairs.<br /><br /><b>The space</b><br />It's around 30m² and there is a lot of space for additional guests. In case its raining or you just don't want to go out there is a video projector and a big white wall. What else? In Case you are in Berlin for Business and you need to get creative in your free time, there is a Whiteboard on one of the walls. And If your having a sleepover and you want to impress them with some self written songs, there is a guitar available you can do that with ;-)<br /><br /><b>Guest access</b><br />Basically you can go everywhere...",https://a0.muscache.com/pictures/b315929f-b511-4dba-82f3-4efa286c14bf.jpg,4617497,https://www.airbnb.com/users/show/4617497,Gabriel,75.0,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,52.49309,13.39494,Private room,3,Private room,1.0,2.0,24.0,2,98.0,75,f,0.0
3031,7096507,https://www.airbnb.com/rooms/7096507,Summer feeling in Berlin + balcony,"Beautiful bright old building in the middle of Wedding. The sunsets look amazing on your own balcony. Up to 4 people can share the 22 sq m room. Very mobile thanks to good connections (Friedrichstrasse, Alexanderplatz, Zoologischer Garten, airport Tegel) in 13-23 min.<br /><br /><b>The space</b><br />The apartment is centrally located between subway station (U6) Rehberge and Seestrasse <br />A beautiful corner of Wedding with many parks, bars and the lake in close proximity. The balcony is located on a busier street, which should not be a problem normally. <br /> <br />You can reach the subway (U6) by foot and other than the U6, there are many buses, bakeries, Edeka, LIDL, Kaufland ALDI and Reichel, the Cineplex Alhambra movie theater, bowling and so on.<br /><br /><b>Guest access</b><br />We share the bathroom, kitchen and WiFi<br /><br /><b>Other things to note</b><br />Warning: During your stay, I will not be in the apartment. It means you book my room in our 2 room flat<br /><br />",https://a0.muscache.com/pictures/e9bb84a7-3d51-4e40-ab37-ad48b2dea6ea.jpg,37197450,https://www.airbnb.com/users/show/37197450,Nicolas Alejandro,100.0,Parkviertel,Mitte,52.55539,13.346260000000001,Private room,4,Private room,1.0,2.0,33.0,1,93.0,361,f,0.0
3039,7133001,https://www.airbnb.com/rooms/7133001,Spacious & sunny flat in Kreuzberg,"Our apartment is located just near Chamissoplatz .<br />In the immediate vicinity you find everything you need for a great time in Kreuzberg . The apartment is fully equipped and you can easily see with 2 couples in our place.<br /><br />Our two big beds (one is 2m wide, the other 1.80, memory foam) will help you to relax after a long day (or night...) , as for the complete silence in which the flat swims in peace.<br /><br /><b>The space</b><br />Perfect for families - we have a baby bed,children chairs and changing facilities in the bathroom. Or if you are traveling with friends you'll have enough space as a group as as individuals.<br /><br /><b>Guest access</b><br />Our flat has 5 rooms. You'll have exclusive access to 2 bedrooms, the living room, kitchen, bathroom & toilet but  our 2 studies will be not available to rent.",https://a0.muscache.com/pictures/9862c395-5cda-4db1-beb1-7a76a58cb4ce.jpg,554154,https://www.airbnb.com/users/show/554154,Corazon,100.0,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,52.487759999999994,13.39233,Entire home/apt,4,Entire home/apt,2.0,0.0,120.0,4,92.0,258,f,1.5
3074,7192744,https://www.airbnb.com/rooms/7192744,Maisonette mit Garten am Landwehrkanal Kreuzkölln,"Schöne 4-Zimmer-Maisonette-Wohnung in einem 8-Familien-Niedrigenergiehaus an der Grenze zu Kreuzkölln nahe Görlitzer Park mit 4, 5 oder auch bis zu 7 Schlafmöglichkeiten. Die Wohnung hat eine eigeneTerrasse mit kleinem Garten. Zudem gibt es einen großen Gemeinschaftsgarten, Tischtennisplatte, Sandkasten, Kinderhaus, Trampolin und Auto-Stellplatz. Unsere Katze Lycka müsste bitte mit versorgt werden und der Garten etwas gewässert werden. Man kann man sich auch um die 2 Kaninchen im Garten kümmern.<br /><br /><b>The space</b><br />Die 4-Zimmer-Maisonette-Wohnung hat zwei 14m²-Zimmer im 1. Stock zur recht ruhigen Straße heraus. Ein Zimmer hat ein 1x2m Bett, das zweite hat ein Klappsofa, dass aufgestellt als Einzelbett oder als ca. 1,60 m breites Doppelbett genutzt werden kann. Ein weiteres Schlafzimmer zum Garten hat ein 2x2 m Bett. Weiterhin befindet sich im ersten Stock ein Bad mit Wanne und Duschvorhang und eine L-förmige Galerie, von der man in das Untergeschoss und durch die großen Pa",https://a0.muscache.com/pictures/9a11fbdc-7318-4c38-80bb-ef49475c06ba.jpg,37667006,https://www.airbnb.com/users/show/37667006,Holger,0.0,Alt  Treptow,Treptow - Köpenick,52.49224,13.4453,Entire home/apt,5,Entire home/apt,3.0,3.0,110.0,6,100.0,104,f,1.5
3076,7195329,https://www.airbnb.com/rooms/7195329,Great Altbau appt Richardskiez,"Renting out a great appartment in the historical, quiet and beautiful Richardskiez. The appartment comes fully furnished with a single bedroom, living room, kitchen, bathroom and floor space and small 4th floor balcony.<br /><br /><b>The space</b><br />The Berlin-style appartment is cozy yet spacious and fully furbished. It comes with its natural ""Altbau"" charme so typical for Berlin and wooden floor in the big living room, sleeping room and the corridor. The balcony can be easily accessed from the sleeping room and two people could be comfortably sitting there, overlooking the tree lined street and the rooftops of Berlin. The kitchen is also fully equipped so you could have your own breakfast and cook dinner if you are tired of the numerous great eating out locations around the appartment. Coffee, tea, olive oil, salt, pepper, sugar are always available and free to use.<br /><br /><b>Guest access</b><br />You live alone in the flat and have full access to all rooms and equipment. If n",https://a0.muscache.com/pictures/101870663/20f9bb24_original.jpg,674978,https://www.airbnb.com/users/show/674978,Marlon,100.0,Rixdorf,Neukölln,52.47413,13.4492,Entire home/apt,4,Entire home/apt,1.0,2.0,70.0,1,98.0,333,t,1.0
3078,7196659,https://www.airbnb.com/rooms/7196659,Lovely Frame House for Bigger Group,"We will rent out the entire space to you in which you will have full access to kitchen, bathrooms, bedrooms, small garden in the back and grill.<br /><br /><b>The space</b><br />The house was built in 1720 and renovated a few times, hence the stairs are quite steep and narrow. There is one bedroom with two beds on the  ground floor, two rooms with each two beds on the second floor and two rooms with each two beds on the first floor, where we have two extra futons for possible guests 11 and 12. A full bathroom is on each floor.<br /><br /><b>Guest access</b><br />You have full access to the buildng except for a storage room on the ground floor and a basement which is out in the garden area.<br /><br /><b>License number</b><br />Wohn 230-05/Z/ZA/005634-16",https://a0.muscache.com/pictures/91486823/f78ab7c1_original.jpg,35502976,https://www.airbnb.com/users/show/35502976,Dagmar Vera Ute,83.0,Spandau Mitte,Spandau,52.536359999999995,13.20684,Entire home/apt,12,Entire home/apt,5.0,10.0,310.0,2,95.0,271,f,0.0
3101,7245176,https://www.airbnb.com/rooms/7245176,NEW! Calm Beauty in Mitte/Prenzl'B,"AVAILABLE FOR 30+ DAYS! Welcome to our flat in Berlin's most sought after neighborhood ~ Mitte, within walking distance to Prenzlauer Berg. In a historic ""altbau"" building on a quiet side street amidst the City's best cafes, bars, restaurants, artisinal bakeries and boutiques.<br /><br /><b>The space</b><br />Calm and sophisticated flat in Mitte, two blocks away from Prenzlauer Berg - the best of both worlds. <br /><br />Sleeps 6 in a combination of comfortable new beds and an Italian made sofa bed with a real mattress.<br /><br />• Large formal dining room that seats 8<br />• Master bedroom with a lounge sofa<br />• Large living room that converts to a private separate bedroom that sleeps 4<br />• Strongest available in-home Berlin wifi with Booster<br />• Large screen TV that streams Netflix (via AppleTV).<br />• Full kitchen with a gas stove<br />• Large Bosch refrigerator with a freezer<br />• QuickMill Italian Espresso Machine<br />• Full size bathtub with hand held shower<br />• ",https://a0.muscache.com/pictures/94344605/d5e1cf7a_original.jpg,37935775,https://www.airbnb.com/users/show/37935775,Isabella &,0.0,Prenzlauer Berg Südwest,Pankow,52.531130000000005,13.406620000000002,Entire home/apt,6,Entire home/apt,1.0,5.0,120.0,7,95.0,277,f,1.0
3122,7288513,https://www.airbnb.com/rooms/7288513,"Cosy, calm, central flat for 3 people in Berlin!","Francais, italiano, persian<br /><br /><b>The space</b><br />Contact me pls<br /><br /><b>Guest access</b><br />See pictures<br /><br /><b>Other things to note</b><br />No tourists - friends, no big socializing, but feel like a Berliner and be part of the home, house, city.",https://a0.muscache.com/pictures/0c5de5c6-63c8-4140-8c8b-7209c2e39ce5.jpg,38168760,https://www.airbnb.com/users/show/38168760,Maria,0.0,Prenzlauer Berg Nord,Pankow,52.544990000000006,13.425020000000002,Private room,3,Private room,1.0,2.0,250.0,2,90.0,260,f,0.0
3128,7299683,https://www.airbnb.com/rooms/7299683,Lower own house floor in the two-family house,"I offer you my fully equipped lower house, with a garden and terrace. Situated in Berlin's north-east, in the district of Hohenschönhausen, with secure parking, in quiet and green location. Above my parents live, are there for questions and regulate the check in and check out. Good public transport connections to Friedrichshain, Mitte and Weißensee. Please see the map if you like the district well.<br /><br /><b>The space</b><br />The house has two flats with separate entrance for better privacy. The upper apartment is used by my parents. The lower flat can be booked by you.<br />The apartment is perfect for 2 couples or a family up to 4 people. The sleeping options, see below:<br />In the bedroom a large double bed with the dimensions 200x180.<br />In the ""children's room"" a sofa bed with 200x145.<br />(If necessary, there is an armchair in the living room that can be folded into a multifunctional bed and the couch (not foldable), see photos.<br /><br /><b>Guest access</b><br />You ha",https://a0.muscache.com/pictures/c1a358bb-0b4a-4720-bf54-6944401da9e8.jpg,18489024,https://www.airbnb.com/users/show/18489024,Jan,100.0,Alt-Hohenschönhausen Süd,Lichtenberg,52.542030000000004,13.51315,Entire home/apt,4,Entire home/apt,2.0,2.0,55.0,2,98.0,206,f,1.0
